date,time,home_team,away_team,score,match_url,Expected_goals_(xG)_home,Expected_goals_(xG)_away,Ball_possession_home,Ball_possession_away,Total_shots_home,Total_shots_away,Shots_on_target_home,Shots_on_target_away,Corner_kicks_home,Corner_kicks_away,Passes_home,Passes_away,Red_cards_home,Red_cards_away,Shots_off_target_home,Shots_off_target_away,Blocked_shots_home,Blocked_shots_away,Offsides_home,Offsides_away,Fouls_home,Fouls_away,Goalkeeper_saves_home,Goalkeeper_saves_away,Yellow_cards_home,Yellow_cards_away,Free_kicks_home,Free_kicks_away,Throw_ins_home,Throw_ins_away
07.04.2023,23:00,Salernitana,Inter,1:1,https://www.flashscore.co.uk/match/football/ITOP6lBK/#/match-summary,1.16,3.09,44%,56%,11,25,3,11,2,8,"82%,(341/416)","84%,(451/537)",,,7,8,1,6,3,1,14,10,10,2,2,2,11,17,16,15
31.08.2022,02:45,Inter,Cremonese,3:1,https://www.flashscore.co.uk/match/football/n3TEfYOe/#/match-summary,,,53%,47%,18,11,7,4,6,6,"87%,(399/459)","82%,(329/401)",,,7,4,4,3,2,2,6,14,3,4,0,3,16,9,20,20
09.01.2023,01:00,Sampdoria,Napoli,0:2,https://www.flashscore.co.uk/match/football/SCT8x9Mg/#/match-summary,,,34%,66%,9,24,2,8,2,5,"75%,(246/330)","92%,(608/664)",1,0,4,10,3,6,0,4,15,12,6,2,3,2,16,13,16,12
16.10.2022,00:00,Torino,Juventus,0:1,https://www.flashscore.co.uk/match/football/OK81uHyr/#/match-summary,,,53%,47%,15,14,2,8,3,6,"84%,(400/477)","80%,(336/419)",,,7,4,6,2,0,0,11,8,7,2,2,0,10,14,19,15
24.10.2022,00:00,Atalanta,Lazio,0:2,https://www.flashscore.co.uk/match/football/2B75vyil/#/match-summary,,,47%,53%,7,12,0,5,5,8,"83%,(399/481)","87%,(489/562)",1,0,4,5,3,2,1,0,15,9,3,0,4,2,9,16,23,22
17.01.2023,03:45,Empoli,Sampdoria,1:0,https://www.flashscore.co.uk/match/football/W4QPYQLI/#/match-summary,,,50%,50%,16,16,5,7,3,3,"84%,(356/424)","80%,(329/411)",,,7,5,4,4,2,0,15,16,7,4,5,6,16,17,23,21
31.08.2022,00:30,Sassuolo,AC Milan,0:0,https://www.flashscore.co.uk/match/football/n1xwamGs/#/match-summary,,,38%,62%,8,10,3,2,3,8,"72%,(192/267)","80%,(360/450)",,,3,5,2,3,3,1,14,13,2,3,5,2,17,25,21,28
09.10.2022,21:00,Monza,Spezia,2:0,https://www.flashscore.co.uk/match/football/tKPaRTe2/#/match-summary,,,48%,52%,7,9,4,1,3,6,"77%,(317/411)","82%,(359/437)",,,2,4,1,4,3,4,10,20,1,2,3,2,25,13,21,27
29.05.2023,02:45,Juventus,AC Milan,0:1,https://www.flashscore.co.uk/match/football/nwnbIuBP/#/match-summary,0.97,0.52,48%,52%,16,9,3,3,4,5,"84%,(359/425)","83%,(387/466)",,,6,4,7,2,0,1,12,10,2,3,1,2,11,12,16,23
09.10.2022,02:45,Bologna,Sampdoria,1:1,https://www.flashscore.co.uk/match/football/E59JobsH/#/match-summary,,,51%,49%,10,9,3,3,2,5,"77%,(298/387)","73%,(278/380)",,,4,3,3,3,5,1,17,21,2,2,2,3,28,30,28,29
