date,time,home_team,away_team,score,match_url,Expected_goals_(xG)_home,Expected_goals_(xG)_away,Ball_possession_home,Ball_possession_away,Total_shots_home,Total_shots_away,Shots_on_target_home,Shots_on_target_away,Corner_kicks_home,Corner_kicks_away,Passes_home,Passes_away,Red_cards_home,Red_cards_away,Shots_off_target_home,Shots_off_target_away,Blocked_shots_home,Blocked_shots_away,Offsides_home,Offsides_away,Fouls_home,Fouls_away,Goalkeeper_saves_home,Goalkeeper_saves_away,Yellow_cards_home,Yellow_cards_away,Free_kicks_home,Free_kicks_away,Throw_ins_home,Throw_ins_away,Big_chances_home,Big_chances_away,Shots_inside_the_box_home,Shots_inside_the_box_away,Shots_outside_the_box_home,Shots_outside_the_box_away,Hit_the_woodwork_home,Hit_the_woodwork_away,Touches_in_opposition_box_home,Touches_in_opposition_box_away,Passes_in_final_third_home,Passes_in_final_third_away,Crosses_home,Crosses_away,Tackles_home,Tackles_away,Clearances_home,Clearances_away,Interceptions_home,Interceptions_away,xG_on_target_(xGOT)_home,xG_on_target_(xGOT)_away,Accurate_through_passes_home,Accurate_through_passes_away,Long_passes_home,Long_passes_away,Expected_assists_(xA)_home,Expected_assists_(xA)_away,Duels_won_home,Duels_won_away,Errors_leading_to_shot_home,Errors_leading_to_shot_away,Errors_leading_to_goal_home,Errors_leading_to_goal_away,xGOT_faced_home,xGOT_faced_away,Goals_prevented_home,Goals_prevented_away,Headed_goals_home,Headed_goals_away
05.11.2023,22:00,Cagliari,Genoa,2:1,https://www.flashscore.co.uk/match/football/MN8LgIJo/#/match-summary,0.65,1.21,40%,60%,12.0,8.0,4.0,2.0,1.0,1.0,"74%,(259/350)","78%,(405/519)",,,6.0,4.0,2.0,2.0,5.0,2.0,14.0,11.0,1.0,2.0,4.0,2.0,13.0,19.0,28.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.09.2023,00:30,Verona,Atalanta,0:1,https://www.flashscore.co.uk/match/football/4QAObA0k/#/match-summary,0.59,1.23,51%,49%,11.0,8.0,2.0,2.0,4.0,1.0,"68%,(281/413)","66%,(264/400)",,,6.0,5.0,3.0,1.0,1.0,3.0,10.0,25.0,1.0,2.0,2.0,3.0,22.0,11.0,24.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.09.2023,02:45,Lecce,Salernitana,2:0,https://www.flashscore.co.uk/match/football/0WzsbIhs/#/match-summary,1.72,0.98,45%,55%,20.0,11.0,6.0,4.0,6.0,5.0,"76%,(249/328)","80%,(317/396)",,,4.0,6.0,10.0,1.0,0.0,1.0,17.0,15.0,4.0,4.0,3.0,3.0,10.0,16.0,25.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.09.2023,02:45,Atalanta,Monza,3:0,https://www.flashscore.co.uk/match/football/4AhPuywD/#/match-summary,0.67,0.3,41%,59%,18.0,8.0,8.0,2.0,7.0,3.0,"85%,(364/428)","86%,(538/626)",,,5.0,5.0,5.0,1.0,4.0,1.0,11.0,9.0,2.0,5.0,0.0,3.0,10.0,15.0,15.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.12.2023,03:45,Monza,Juventus,1:2,https://www.flashscore.co.uk/match/football/EXHeCNVs/#/match-summary,0.83,2.96,66%,34%,16.0,18.0,1.0,7.0,7.0,3.0,"90%,(601/668)","84%,(294/350)",,,7.0,6.0,8.0,5.0,0.0,2.0,12.0,8.0,5.0,0.0,1.0,2.0,10.0,12.0,21.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.03.2024,03:45,Fiorentina,AC Milan,1:2,https://www.flashscore.co.uk/match/football/j7OIEmWi/#/match-summary,1.42,2.9,45%,55%,17.0,14.0,7.0,10.0,7.0,5.0,"78%,(282/362)","82%,(373/455)",,,2.0,4.0,8.0,0.0,1.0,5.0,8.0,12.0,8.0,6.0,2.0,3.0,17.0,9.0,16.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.03.2024,22:00,Udinese,Torino,0:2,https://www.flashscore.co.uk/match/football/KYz1d6GN/#/match-summary,0.44,0.85,43%,57%,12.0,12.0,1.0,5.0,3.0,4.0,"77%,(262/340)","84%,(381/454)",,,7.0,3.0,4.0,4.0,2.0,1.0,11.0,17.0,3.0,1.0,3.0,2.0,19.0,13.0,14.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.05.2024,21:00,Verona,Torino,1:2,https://www.flashscore.co.uk/match/football/4dkXYQzj/#/match-summary,1.12,0.48,43%,57%,13.0,6.0,5.0,2.0,7.0,4.0,"70%,(232/331)","80%,(364/455)",1.0,0.0,4.0,4.0,4.0,0.0,1.0,0.0,19.0,15.0,0.0,4.0,3.0,2.0,11.0,16.0,18.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.05.2024,02:45,AC Milan,Cagliari,5:1,https://www.flashscore.co.uk/match/football/YDb1vmDS/#/match-summary,3.3,1.42,66%,34%,17.0,13.0,10.0,7.0,6.0,3.0,"91%,(584/642)","81%,(257/317)",,,4.0,1.0,3.0,5.0,1.0,4.0,11.0,9.0,6.0,5.0,2.0,1.0,13.0,11.0,9.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.04.2024,02:45,Cagliari,Juventus,2:2,https://www.flashscore.co.uk/match/football/YioXFiDD/#/match-summary,2.15,0.67,26%,74%,9.0,11.0,4.0,3.0,4.0,3.0,"63%,(127/202)","86%,(499/580)",,,4.0,3.0,1.0,5.0,1.0,3.0,16.0,15.0,1.0,2.0,2.0,3.0,18.0,17.0,17.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.01.2024,19:30,Empoli,AC Milan,0:3,https://www.flashscore.co.uk/match/football/vPAOOCx2/#/match-summary,0.83,1.69,35%,65%,17.0,13.0,2.0,6.0,6.0,6.0,"86%,(276/321)","90%,(560/623)",,,5.0,4.0,10.0,3.0,0.0,0.0,9.0,13.0,3.0,2.0,1.0,2.0,13.0,8.0,20.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.11.2023,03:45,AC Milan,Fiorentina,1:0,https://www.flashscore.co.uk/match/football/xfFgFjnM/#/match-summary,1.66,1.84,42%,58%,9.0,20.0,6.0,4.0,3.0,11.0,"77%,(284/369)","82%,(412/502)",,,1.0,7.0,2.0,9.0,1.0,1.0,9.0,10.0,4.0,5.0,1.0,2.0,11.0,10.0,22.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.05.2024,00:00,Atalanta,Torino,3:0,https://www.flashscore.co.uk/match/football/pnP95PBR/#/match-summary,2.15,0.85,40%,60%,18.0,8.0,7.0,1.0,2.0,5.0,"83%,(306/369)","89%,(498/560)",,,8.0,5.0,3.0,2.0,1.0,3.0,18.0,10.0,1.0,4.0,1.0,1.0,12.0,19.0,19.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.05.2024,00:00,Napoli,Lecce,0:0,https://www.flashscore.co.uk/match/football/CYQ17osF/#/match-summary,1.59,0.41,67%,33%,24.0,10.0,5.0,0.0,4.0,1.0,"89%,(598/672)","73%,(241/330)",,,11.0,4.0,8.0,6.0,0.0,1.0,10.0,17.0,0.0,5.0,,,16.0,10.0,24.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.12.2023,19:30,AC Milan,Monza,3:0,https://www.flashscore.co.uk/match/football/nTtNK6ua/#/match-summary,2.27,1.58,45%,55%,17.0,21.0,9.0,4.0,4.0,5.0,"87%,(363/417)","92%,(471/512)",,,5.0,11.0,3.0,6.0,3.0,0.0,8.0,8.0,4.0,6.0,1.0,2.0,8.0,11.0,8.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.02.2024,01:00,Verona,Juventus,2:2,https://www.flashscore.co.uk/match/football/IJVRU5Ld/#/match-summary,0.58,1.39,44%,56%,14.0,18.0,9.0,4.0,5.0,4.0,"81%,(282/347)","84%,(393/466)",,,3.0,6.0,2.0,8.0,0.0,2.0,8.0,10.0,2.0,7.0,,,13.0,8.0,18.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.10.2023,21:00,Bologna,Frosinone,2:1,https://www.flashscore.co.uk/match/football/0f1eM4bD/#/match-summary,1.46,1.35,55%,45%,12.0,12.0,6.0,5.0,4.0,5.0,"83%,(391/473)","81%,(312/383)",0.0,1.0,5.0,6.0,1.0,1.0,1.0,1.0,10.0,14.0,4.0,4.0,2.0,2.0,13.0,9.0,19.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.04.2024,02:45,Salernitana,Sassuolo,2:2,https://www.flashscore.co.uk/match/football/nHKw6Gqk/#/match-summary,1.11,2.43,54%,46%,5.0,16.0,2.0,5.0,4.0,9.0,"80%,(397/495)","77%,(321/417)",,,2.0,5.0,1.0,6.0,1.0,3.0,10.0,13.0,3.0,0.0,4.0,3.0,16.0,11.0,15.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.09.2023,02:45,Verona,Bologna,0:0,https://www.flashscore.co.uk/match/football/UBlT9Fig/#/match-summary,0.45,0.8,39%,61%,9.0,11.0,1.0,4.0,3.0,4.0,"80%,(277/346)","88%,(479/544)",,,5.0,5.0,3.0,2.0,5.0,1.0,18.0,10.0,4.0,1.0,4.0,2.0,12.0,23.0,15.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.05.2024,02:45,AS Roma,Genoa,1:0,https://www.flashscore.co.uk/match/football/nHOzgnSL/#/match-summary,0.52,0.26,54%,46%,21.0,12.0,6.0,5.0,6.0,3.0,"87%,(399/459)","83%,(319/384)",1.0,0.0,8.0,3.0,7.0,4.0,0.0,2.0,10.0,10.0,5.0,5.0,3.0,0.0,9.0,7.0,9.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.02.2024,22:00,Cagliari,Napoli,1:1,https://www.flashscore.co.uk/match/football/pfk9sq52/#/match-summary,0.73,1.06,29%,71%,8.0,9.0,3.0,4.0,4.0,3.0,"55%,(122/220)","83%,(487/589)",,,4.0,5.0,1.0,0.0,4.0,2.0,12.0,12.0,3.0,2.0,4.0,1.0,14.0,16.0,26.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.01.2024,03:45,Fiorentina,Inter,0:1,https://www.flashscore.co.uk/match/football/zan5PkSJ/#/match-summary,0.74,0.28,58%,42%,14.0,8.0,4.0,4.0,7.0,6.0,"82%,(424/517)","79%,(299/378)",,,5.0,2.0,5.0,2.0,3.0,4.0,6.0,12.0,3.0,4.0,2.0,3.0,15.0,9.0,12.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.11.2023,01:30,Frosinone,Empoli,2:1,https://www.flashscore.co.uk/match/football/fkMSidlb/#/match-summary,0.93,1.27,64%,36%,17.0,10.0,5.0,2.0,9.0,2.0,"87%,(507/581)","70%,(231/328)",,,7.0,4.0,5.0,4.0,2.0,1.0,7.0,9.0,1.0,3.0,3.0,2.0,12.0,8.0,25.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.12.2023,03:45,Salernitana,AC Milan,2:2,https://www.flashscore.co.uk/match/football/CpqlZ5fh/#/match-summary,1.43,2.6,34%,66%,19.0,21.0,7.0,9.0,6.0,6.0,"77%,(206/268)","89%,(448/503)",1.0,0.0,6.0,6.0,6.0,6.0,2.0,2.0,16.0,11.0,7.0,5.0,3.0,1.0,13.0,17.0,14.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.09.2023,21:00,AC Milan,Verona,1:0,https://www.flashscore.co.uk/match/football/Iea8612b/#/match-summary,0.97,0.63,54%,46%,9.0,10.0,4.0,2.0,2.0,3.0,"81%,(371/460)","75%,(280/373)",,,2.0,5.0,3.0,3.0,1.0,1.0,12.0,11.0,2.0,3.0,4.0,2.0,12.0,16.0,17.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.09.2023,00:30,Torino,Genoa,1:0,https://www.flashscore.co.uk/match/football/UBScfzh6/#/match-summary,0.46,0.08,63%,37%,10.0,7.0,3.0,2.0,4.0,0.0,"86%,(425/493)","70%,(212/304)",,,5.0,3.0,2.0,2.0,5.0,2.0,13.0,7.0,2.0,2.0,2.0,5.0,10.0,18.0,15.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.04.2024,02:45,Genoa,Cagliari,3:0,https://www.flashscore.co.uk/match/football/dQhciEZJ/#/match-summary,1.08,0.94,63%,37%,12.0,12.0,5.0,1.0,2.0,4.0,"82%,(453/552)","70%,(214/306)",,,6.0,9.0,1.0,2.0,2.0,3.0,12.0,14.0,1.0,2.0,0.0,2.0,19.0,14.0,23.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.05.2024,02:45,AS Roma,Juventus,1:1,https://www.flashscore.co.uk/match/football/8l65sbNh/#/match-summary,2.0,1.16,61%,39%,19.0,16.0,5.0,6.0,9.0,6.0,"90%,(474/527)","85%,(292/344)",,,9.0,7.0,5.0,3.0,1.0,1.0,7.0,11.0,5.0,4.0,1.0,2.0,11.0,8.0,18.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.02.2024,22:00,Empoli,Fiorentina,1:1,https://www.flashscore.co.uk/match/football/jXTZSqj9/#/match-summary,0.99,1.03,39%,61%,5.0,9.0,4.0,4.0,0.0,3.0,"76%,(244/321)","84%,(420/500)",,,0.0,3.0,1.0,2.0,1.0,1.0,15.0,14.0,3.0,3.0,3.0,2.0,15.0,16.0,23.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
