date,home_team,away_team,home_team_code,away_team_code,hour,day_code,Ball_possession_home,Total_shots_home,Total_shots_away,Goalkeeper_saves_home,Goalkeeper_saves_away,Corner_kicks_home,Corner_kicks_away,Passes_home,Passes_away,Free_kicks_home,Free_kicks_away,result
2023-05-08,Lecce,Verona,14,25,2,0,0.52,15.0,9.0,2.0,2.0,4.0,4.0,0.71,0.67,17.0,14.0,-1
2023-02-19,Inter,Udinese,11,23,3,6,0.6,19.0,9.0,0.0,4.0,3.0,8.0,0.85,0.81,13.0,16.0,1
2023-05-29,Lazio,Cremonese,13,6,0,0,0.58,12.0,11.0,3.0,5.0,4.0,3.0,0.91,0.85,8.0,19.0,1
2023-05-04,Salernitana,Fiorentina,18,8,0,3,0.47,4.0,12.0,0.0,0.0,2.0,3.0,0.74,0.74,14.0,21.0,-1
2022-10-09,Salernitana,Verona,18,25,21,6,0.4,14.0,12.0,1.0,2.0,1.0,6.0,0.71,0.81,18.0,10.0,1
2022-08-29,Fiorentina,Napoli,8,16,2,0,0.49,10.0,13.0,2.0,5.0,2.0,3.0,0.83,0.86,16.0,13.0,-1
2022-11-10,Torino,Sampdoria,22,19,3,3,0.51,8.0,11.0,1.0,3.0,4.0,3.0,0.77,0.77,25.0,18.0,1
2022-11-13,Atalanta,Inter,2,11,19,6,0.46,19.0,14.0,1.0,5.0,5.0,4.0,0.77,0.83,18.0,18.0,-1
2022-08-21,Inter,Spezia,11,21,2,6,0.55,19.0,2.0,0.0,5.0,10.0,4.0,0.89,0.84,8.0,16.0,1
2023-05-09,Udinese,Sampdoria,23,19,0,1,0.46,13.0,11.0,3.0,4.0,7.0,3.0,0.83,0.88,13.0,17.0,1
2023-04-08,Lecce,Napoli,14,16,1,5,0.31,11.0,9.0,1.0,2.0,5.0,4.0,0.73,0.87,9.0,13.0,-1
2022-09-01,Juventus,Spezia,12,21,2,3,0.51,15.0,9.0,0.0,1.0,7.0,3.0,0.83,0.82,17.0,18.0,1
2023-04-15,Cremonese,Empoli,6,7,0,5,0.32,14.0,15.0,1.0,4.0,3.0,8.0,0.7,0.85,11.0,15.0,1
2022-11-09,Spezia,Udinese,21,23,1,2,0.49,21.0,10.0,1.0,5.0,9.0,0.0,0.76,0.81,17.0,13.0,-1
2023-04-23,Lazio,Torino,13,22,0,6,0.53,10.0,7.0,2.0,5.0,3.0,4.0,0.87,0.86,14.0,14.0,-1
2023-01-29,Atalanta,Sampdoria,2,19,3,6,0.62,21.0,15.0,5.0,3.0,7.0,4.0,0.87,0.74,16.0,23.0,1
2022-10-30,Cremonese,Udinese,6,23,22,6,0.41,13.0,13.0,3.0,2.0,7.0,4.0,0.78,0.83,12.0,10.0,-1
2023-04-08,Sampdoria,Cremonese,19,6,22,5,0.49,13.0,17.0,1.0,7.0,3.0,3.0,0.78,0.8,14.0,14.0,-1
2022-10-02,Lecce,Cremonese,14,6,21,6,0.55,6.0,13.0,3.0,0.0,1.0,8.0,0.74,0.69,23.0,13.0,-1
2023-05-04,Verona,Inter,25,11,3,3,0.25,7.0,20.0,4.0,2.0,2.0,7.0,0.67,0.91,12.0,4.0,-1
2023-01-15,Inter,Verona,11,25,3,6,0.57,11.0,6.0,1.0,2.0,3.0,4.0,0.83,0.77,13.0,11.0,1
2023-03-13,AS Roma,Sassuolo,1,20,1,0,0.53,17.0,19.0,6.0,4.0,7.0,2.0,0.83,0.79,19.0,13.0,-1
2023-05-16,Sampdoria,Empoli,19,7,2,1,0.42,13.0,16.0,3.0,2.0,1.0,2.0,0.72,0.86,19.0,17.0,-1
2023-05-21,AC Milan,Sampdoria,0,19,2,6,0.62,19.0,6.0,2.0,4.0,7.0,2.0,0.9,0.84,10.0,11.0,1
2023-04-09,Torino,AS Roma,22,1,0,6,0.56,7.0,9.0,0.0,1.0,7.0,4.0,0.82,0.79,7.0,13.0,-1
2023-05-05,Udinese,Napoli,23,16,2,4,0.35,7.0,7.0,3.0,2.0,2.0,6.0,0.76,0.88,14.0,16.0,-1
2023-03-11,Spezia,Inter,21,11,3,5,0.31,4.0,28.0,6.0,0.0,1.0,13.0,0.72,0.85,14.0,11.0,1
2022-09-06,Torino,Lecce,22,14,2,1,0.59,13.0,10.0,2.0,3.0,4.0,4.0,0.82,0.71,10.0,18.0,1
2023-04-30,Torino,Atalanta,22,2,2,6,0.62,4.0,9.0,3.0,3.0,3.0,3.0,0.87,0.8,14.0,13.0,-1
2022-10-03,Atalanta,Fiorentina,2,8,0,0,0.38,10.0,16.0,5.0,4.0,1.0,5.0,0.74,0.84,8.0,14.0,1
2022-11-07,Juventus,Inter,12,11,3,0,0.47,8.0,14.0,4.0,1.0,2.0,8.0,0.82,0.86,16.0,15.0,1
2022-09-02,Bologna,Salernitana,3,18,2,4,0.47,11.0,20.0,3.0,3.0,1.0,8.0,0.76,0.75,12.0,14.0,-1
2023-06-05,Atalanta,Monza,2,15,3,0,0.38,20.0,8.0,2.0,5.0,5.0,1.0,0.84,0.88,14.0,15.0,1
2023-03-19,Udinese,AC Milan,23,0,3,6,0.36,14.0,10.0,5.0,2.0,5.0,6.0,0.73,0.85,13.0,17.0,1
2022-10-16,Atalanta,Sassuolo,2,20,2,6,0.48,16.0,11.0,2.0,2.0,3.0,3.0,0.82,0.84,11.0,12.0,1
2023-02-28,Lazio,Sampdoria,13,19,3,1,0.57,15.0,8.0,2.0,3.0,8.0,3.0,0.84,0.8,14.0,13.0,1
2023-05-07,Cremonese,Spezia,6,21,2,6,0.3,9.0,18.0,8.0,2.0,3.0,13.0,0.67,0.84,11.0,7.0,1
2022-08-28,Cremonese,Torino,6,22,0,6,0.53,16.0,14.0,3.0,5.0,3.0,3.0,0.72,0.68,32.0,13.0,-1
2022-08-23,AS Roma,Cremonese,1,6,0,1,0.49,27.0,14.0,3.0,11.0,5.0,6.0,0.78,0.81,15.0,8.0,1
2023-05-21,Lecce,Spezia,14,21,18,6,0.39,6.0,14.0,0.0,1.0,2.0,5.0,0.69,0.77,17.0,15.0,-1
2023-02-11,Empoli,Spezia,7,21,22,5,0.65,25.0,9.0,1.0,6.0,7.0,3.0,0.87,0.76,14.0,11.0,-1
2022-10-01,Napoli,Torino,16,22,21,5,0.49,15.0,16.0,2.0,4.0,4.0,4.0,0.81,0.81,17.0,4.0,1
2022-08-29,Lecce,Empoli,14,7,2,0,0.4,15.0,9.0,2.0,4.0,3.0,5.0,0.77,0.8,6.0,14.0,-1
2023-04-22,Salernitana,Sassuolo,18,20,21,5,0.47,13.0,11.0,2.0,2.0,4.0,8.0,0.81,0.86,15.0,14.0,1
2022-09-18,Monza,Juventus,15,12,21,6,0.6,17.0,10.0,2.0,3.0,5.0,3.0,0.88,0.8,17.0,23.0,1
2023-03-19,Salernitana,Bologna,18,3,1,6,0.42,14.0,10.0,0.0,2.0,5.0,4.0,0.81,0.87,20.0,14.0,-1
2023-01-31,Udinese,Verona,23,25,3,1,0.55,26.0,10.0,1.0,7.0,14.0,6.0,0.79,0.74,13.0,8.0,-1
2022-10-11,Fiorentina,Lazio,8,13,2,1,0.62,24.0,10.0,2.0,3.0,9.0,2.0,0.86,0.76,11.0,21.0,-1
2023-01-15,Sassuolo,Lazio,20,13,19,6,0.5,12.0,12.0,1.0,2.0,7.0,3.0,0.83,0.86,13.0,16.0,-1
2022-11-10,Inter,Bologna,11,3,3,3,0.57,13.0,10.0,3.0,1.0,4.0,4.0,0.87,0.8,10.0,12.0,1
2022-08-22,Bologna,Verona,3,25,2,0,0.53,17.0,19.0,2.0,4.0,9.0,8.0,0.72,0.71,19.0,11.0,-1
2022-10-16,Inter,Salernitana,11,18,18,6,0.62,16.0,8.0,3.0,4.0,6.0,4.0,0.88,0.81,27.0,18.0,1
2023-04-02,Juventus,Verona,12,25,2,6,0.55,10.0,9.0,3.0,1.0,3.0,5.0,0.83,0.78,32.0,21.0,1
2022-09-18,Fiorentina,Verona,8,25,21,6,0.44,15.0,8.0,1.0,7.0,7.0,3.0,0.75,0.76,20.0,20.0,1
2023-02-12,Lecce,AS Roma,14,1,1,6,0.42,8.0,12.0,4.0,2.0,3.0,7.0,0.71,0.77,8.0,25.0,-1
2023-03-01,Cremonese,AS Roma,6,1,1,2,0.34,6.0,10.0,2.0,0.0,3.0,3.0,0.68,0.81,19.0,23.0,1
2022-11-14,Juventus,Lazio,12,13,3,0,0.41,13.0,10.0,3.0,6.0,2.0,6.0,0.83,0.89,9.0,11.0,1
2023-02-06,Fiorentina,Bologna,8,3,1,0,0.62,18.0,11.0,5.0,5.0,5.0,3.0,0.81,0.7,26.0,12.0,-1
2023-01-05,Fiorentina,Monza,8,15,1,3,0.53,22.0,10.0,2.0,5.0,9.0,1.0,0.84,0.78,17.0,12.0,-1
2022-08-21,Udinese,Salernitana,23,18,0,6,0.47,15.0,17.0,6.0,2.0,6.0,6.0,0.74,0.82,12.0,9.0,-1
2023-02-19,Monza,AC Milan,15,0,1,6,0.59,11.0,14.0,7.0,5.0,10.0,3.0,0.84,0.76,27.0,15.0,-1
2023-03-04,Napoli,Lazio,16,13,3,5,0.65,14.0,5.0,1.0,2.0,8.0,3.0,0.89,0.78,11.0,22.0,-1
2022-11-13,Verona,Spezia,25,21,22,6,0.44,18.0,16.0,7.0,4.0,2.0,10.0,0.64,0.67,21.0,17.0,-1
2023-02-21,Torino,Cremonese,22,6,3,1,0.63,16.0,11.0,0.0,4.0,5.0,1.0,0.82,0.66,14.0,14.0,-1
2022-09-06,Salernitana,Empoli,18,7,0,1,0.52,15.0,11.0,3.0,2.0,6.0,7.0,0.82,0.78,10.0,11.0,-1
2022-09-02,Atalanta,Torino,2,22,2,4,0.41,12.0,8.0,1.0,2.0,7.0,2.0,0.72,0.81,16.0,25.0,1
2022-11-09,Napoli,Empoli,16,7,1,2,0.75,18.0,6.0,1.0,2.0,5.0,0.0,0.89,0.69,16.0,12.0,1
2023-04-03,Napoli,AC Milan,16,0,2,0,0.61,20.0,14.0,4.0,4.0,10.0,4.0,0.87,0.78,10.0,11.0,-1
2023-02-27,AC Milan,Atalanta,0,2,3,0,0.48,13.0,3.0,0.0,2.0,4.0,3.0,0.82,0.8,16.0,20.0,1
2022-08-14,Monza,Torino,15,22,2,6,0.54,15.0,13.0,4.0,3.0,2.0,7.0,0.81,0.81,22.0,7.0,-1
2023-04-24,AC Milan,Lecce,0,14,0,0,0.68,8.0,9.0,4.0,3.0,4.0,2.0,0.84,0.68,9.0,9.0,1
2023-03-01,Juventus,Torino,12,22,3,2,0.42,13.0,8.0,1.0,2.0,3.0,7.0,0.81,0.87,19.0,8.0,1
2023-04-07,Salernitana,Inter,18,11,23,4,0.44,11.0,25.0,10.0,2.0,2.0,8.0,0.82,0.84,11.0,17.0,-1
2022-08-31,Inter,Cremonese,11,6,2,2,0.53,18.0,11.0,3.0,4.0,6.0,6.0,0.87,0.82,16.0,9.0,1
2023-01-09,Sampdoria,Napoli,19,16,1,0,0.34,9.0,24.0,6.0,2.0,2.0,5.0,0.75,0.92,16.0,13.0,-1
2022-10-16,Torino,Juventus,22,12,0,6,0.53,15.0,14.0,7.0,2.0,3.0,6.0,0.84,0.8,10.0,14.0,-1
2022-10-24,Atalanta,Lazio,2,13,0,0,0.47,7.0,12.0,3.0,0.0,5.0,8.0,0.83,0.87,9.0,16.0,-1
2023-01-17,Empoli,Sampdoria,7,19,3,1,0.5,16.0,16.0,7.0,4.0,3.0,3.0,0.84,0.8,16.0,17.0,1
2022-08-31,Sassuolo,AC Milan,20,0,0,2,0.38,8.0,10.0,2.0,3.0,3.0,8.0,0.72,0.8,17.0,25.0,-1
2022-10-09,Monza,Spezia,15,21,21,6,0.48,7.0,9.0,1.0,2.0,3.0,6.0,0.77,0.82,25.0,13.0,1
2023-05-29,Juventus,AC Milan,12,0,2,0,0.48,16.0,9.0,2.0,3.0,4.0,5.0,0.84,0.83,11.0,12.0,-1
2022-10-09,Bologna,Sampdoria,3,19,2,6,0.51,10.0,9.0,2.0,2.0,2.0,5.0,0.77,0.73,28.0,30.0,-1
2022-08-14,AC Milan,Udinese,0,23,0,6,0.65,14.0,9.0,2.0,1.0,5.0,1.0,0.86,0.81,12.0,17.0,1
2023-04-16,Inter,Monza,11,15,2,6,0.57,25.0,7.0,1.0,6.0,5.0,2.0,0.87,0.8,8.0,16.0,-1
2023-03-19,Fiorentina,Lecce,8,14,22,6,0.59,18.0,8.0,2.0,2.0,1.0,3.0,0.83,0.7,22.0,17.0,1
2023-04-30,Napoli,Salernitana,16,18,21,6,0.73,24.0,5.0,1.0,7.0,10.0,0.0,0.89,0.7,14.0,13.0,-1
2023-03-05,Fiorentina,AC Milan,8,0,3,6,0.48,16.0,8.0,5.0,6.0,11.0,5.0,0.8,0.82,16.0,12.0,1
2023-03-20,Inter,Juventus,11,12,3,0,0.69,18.0,7.0,2.0,3.0,6.0,4.0,0.88,0.76,19.0,6.0,-1
2022-10-10,Cremonese,Napoli,6,16,0,0,0.3,12.0,21.0,6.0,0.0,5.0,2.0,0.72,0.89,7.0,21.0,-1
2022-11-01,Monza,Bologna,15,3,3,1,0.55,9.0,10.0,3.0,2.0,4.0,5.0,0.86,0.83,16.0,17.0,-1
2023-04-23,Monza,Fiorentina,15,8,21,6,0.45,13.0,10.0,3.0,2.0,5.0,3.0,0.79,0.83,14.0,17.0,1
2023-02-18,Sampdoria,Bologna,19,3,22,5,0.4,9.0,12.0,3.0,3.0,1.0,8.0,0.76,0.83,13.0,13.0,-1
2022-10-02,Lazio,Spezia,13,21,18,6,0.61,13.0,14.0,2.0,2.0,3.0,6.0,0.89,0.8,27.0,9.0,1
2023-02-28,Verona,Fiorentina,25,8,1,1,0.47,12.0,16.0,4.0,3.0,4.0,2.0,0.69,0.71,10.0,19.0,-1
2023-05-27,Spezia,Torino,21,22,21,5,0.49,8.0,11.0,1.0,1.0,5.0,2.0,0.74,0.72,15.0,19.0,-1
2023-05-01,Fiorentina,Sampdoria,8,19,0,0,0.67,23.0,4.0,1.0,5.0,11.0,0.0,0.87,0.75,14.0,13.0,1
2022-09-03,Fiorentina,Juventus,8,12,21,5,0.6,17.0,4.0,0.0,4.0,10.0,2.0,0.91,0.85,17.0,18.0,-1
2022-09-11,Sassuolo,Udinese,20,23,21,6,0.32,5.0,17.0,1.0,1.0,5.0,6.0,0.76,0.91,23.0,8.0,-1
2023-03-19,Torino,Napoli,22,16,22,6,0.48,12.0,12.0,2.0,2.0,5.0,4.0,0.83,0.85,15.0,17.0,-1
2022-08-29,Verona,Atalanta,25,2,0,0,0.49,14.0,15.0,6.0,2.0,7.0,6.0,0.72,0.72,7.0,17.0,-1
2022-10-15,Empoli,Monza,7,15,21,5,0.36,11.0,16.0,4.0,4.0,2.0,9.0,0.75,0.87,15.0,18.0,1
2022-11-11,Verona,Juventus,25,12,1,4,0.43,15.0,11.0,2.0,2.0,5.0,4.0,0.77,0.8,13.0,14.0,-1
2023-05-14,Spezia,AC Milan,21,0,0,6,0.41,14.0,14.0,3.0,2.0,6.0,9.0,0.7,0.76,13.0,17.0,1
