date,time,home_team,away_team,score,match_url,Expected_goals_(xG)_home,Expected_goals_(xG)_away,Ball_possession_home,Ball_possession_away,Total_shots_home,Total_shots_away,Shots_on_target_home,Shots_on_target_away,Big_chances_home,Big_chances_away,Corner_kicks_home,Corner_kicks_away,Passes_home,Passes_away,Yellow_cards_home,Yellow_cards_away,Shots_off_target_home,Shots_off_target_away,Blocked_shots_home,Blocked_shots_away,Shots_inside_the_box_home,Shots_inside_the_box_away,Shots_outside_the_box_home,Shots_outside_the_box_away,Hit_the_woodwork_home,Hit_the_woodwork_away,Touches_in_opposition_box_home,Touches_in_opposition_box_away,Offsides_home,Offsides_away,Free_kicks_home,Free_kicks_away,Passes_in_final_third_home,Passes_in_final_third_away,Crosses_home,Crosses_away,Throw_ins_home,Throw_ins_away,Fouls_home,Fouls_away,Tackles_home,Tackles_away,Clearances_home,Clearances_away,Interceptions_home,Interceptions_away,Goalkeeper_saves_home,Goalkeeper_saves_away,xG_on_target_(xGOT)_home,xG_on_target_(xGOT)_away,Accurate_through_passes_home,Accurate_through_passes_away,Long_passes_home,Long_passes_away,Expected_assists_(xA)_home,Expected_assists_(xA)_away,Duels_won_home,Duels_won_away,Errors_leading_to_shot_home,Errors_leading_to_shot_away,Errors_leading_to_goal_home,Errors_leading_to_goal_away,xGOT_faced_home,xGOT_faced_away,Goals_prevented_home,Goals_prevented_away,Red_cards_home,Red_cards_away,Headed_goals_home,Headed_goals_away
29.09.2024,00:00,Genoa,Juventus,0:3,https://www.flashscore.co.uk/match/football/KIQjmWIj/#/match-summary,0.57,2.75,34%,66%,7,12,2,3,,,5,3,"75%,(267/355)","83%,(577/697)",2,1,1,7,4,2,,,,,,,,,0,0,15,7,,,,,17,16,8,14,,,,,,,0,2,,,,,,,,,,,,,,,,,,,,,,
19.05.2025,02:45,Fiorentina,Bologna,3:2,https://www.flashscore.co.uk/match/football/f77564MF/#/match-summary,1.77,2.39,40%,60%,6,15,5,3,3,1,2,4,"76%,(248/328)","86%,(411/477)",4,1,1,7,0,5,4,8,2,7,0,0,11,21,4,1,17,21,"44%,(31/70)","68%,(78/114)","0%,(0/4)","18%,(3/17)",15,21,21,17,"75%,(6/8)","55%,(6/11)",20,10,8,7,1,2,2.47,1.38,0,0,"46%,(33/71)","53%,(25/47)",0.20,1.43,37,44,0,0,0,0,1.38,2.47,-0.62,-0.53,0,1,0,1
23.11.2024,22:00,Verona,Inter,0:5,https://www.flashscore.co.uk/match/football/WENRFI84/#/match-summary,0.51,3.14,30%,70%,9,12,2,7,0,5,4,2,"87%,(295/340)","94%,(747/798)",2,1,2,5,5,0,5,10,4,2,1,2,11,22,2,0,5,14,"64%,(44/69)","83%,(113/136)","27%,(3/11)","23%,(3/13)",9,13,14,5,"75%,(9/12)","50%,(7/14)",22,11,3,3,2,2,,,,,,,,,,,,,,,,,,,,,,
10.02.2025,03:45,Napoli,Udinese,1:1,https://www.flashscore.co.uk/match/football/YkdukgbB/#/match-summary,1.45,0.67,62%,38%,18,8,4,4,3,2,6,6,"87%,(470/539)","81%,(270/334)",0,1,4,3,10,1,11,5,7,3,0,0,24,15,1,2,10,11,"72%,(108/150)","64%,(51/80)","37%,(7/19)","33%,(5/15)",23,11,11,10,"60%,(3/5)","46%,(6/13)",12,25,4,6,3,3,,,,,,,,,,,,,,,,,,,,,1,0
27.04.2025,18:30,Venezia,AC Milan,0:2,https://www.flashscore.co.uk/match/football/h6u4EbJ0/#/match-summary,1.38,1.54,50%,50%,15,11,2,2,0,2,7,2,"85%,(347/406)","84%,(352/419)",1,0,8,5,5,4,10,9,5,3,0,0,30,22,2,1,13,14,"72%,(84/116)","71%,(54/76)","30%,(6/20)","50%,(2/4)",25,17,14,13,"81%,(17/21)","67%,(16/24)",8,32,10,6,0,2,0.47,1.38,0,0,"44%,(12/27)","60%,(30/50)",1.22,0.64,49,66,0,0,1,0,1.38,0.47,-0.62,0.47,,,,
31.08.2024,02:45,Inter,Atalanta,4:0,https://www.flashscore.co.uk/match/football/WdSjHeFt/#/match-summary,1.25,1.04,60%,40%,13,11,4,1,,,3,4,"90%,(461/512)","89%,(367/413)",0,2,5,6,4,4,,,,,,,,,5,1,17,13,,,,,18,17,6,15,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,
13.04.2025,02:45,Juventus,Lecce,2:1,https://www.flashscore.co.uk/match/football/U7CQs6RO/#/match-summary,1.40,1.35,67%,33%,22,14,7,3,2,1,9,4,"88%,(587/669)","78%,(256/329)",0,1,8,5,7,6,13,9,9,5,0,1,39,16,5,1,10,7,"83%,(181/218)","65%,(53/81)","33%,(6/18)","18%,(2/11)",12,18,7,10,"67%,(10/15)","69%,(9/13)",16,25,2,8,2,5,1.63,1.21,0,1,"60%,(34/57)","38%,(21/56)",1.18,0.42,48,45,3,1,0,0,1.21,1.63,-0.27,-0.69,,,0,1
06.10.2024,21:00,Bologna,Parma,0:0,https://www.flashscore.co.uk/match/football/dzYLoEIP/#/match-summary,1.13,0.55,71%,29%,19,13,3,2,,,13,6,"78%,(493/630)","65%,(161/246)",1,0,9,5,7,6,,,,,,,,,3,0,16,21,,,,,20,12,15,16,,,,,,,2,3,,,,,,,,,,,,,,,,,,,0,1,,
24.11.2024,03:45,Parma,Atalanta,1:3,https://www.flashscore.co.uk/match/football/Qyq1UHNc/#/match-summary,0.89,2.98,45%,55%,9,15,3,6,1,6,2,5,"83%,(426/512)","85%,(518/608)",0,2,3,5,3,4,4,13,5,2,0,0,11,29,0,6,8,6,"65%,(86/133)","76%,(129/169)","0%,(0/6)","40%,(10/25)",13,11,6,8,"40%,(4/10)","42%,(8/19)",17,10,12,11,3,2,,,,,,,,,,,,,,,,,,,,,0,1
29.09.2024,18:30,Torino,Lazio,2:3,https://www.flashscore.co.uk/match/football/WxCQa92d/#/match-summary,0.71,1.97,58%,42%,12,13,7,7,,,3,1,"84%,(408/485)","77%,(277/360)",2,3,4,5,1,1,,,,,,,,,0,1,14,11,,,,,29,27,10,13,,,,,,,4,5,,,,,,,,,,,,,,,,,,,,,,
20.10.2024,18:30,Empoli,Napoli,0:1,https://www.flashscore.co.uk/match/football/8Kjh0jRr/#/match-summary,0.69,1.40,50%,50%,11,9,4,1,,,7,7,"84%,(329/393)","85%,(338/400)",2,2,2,4,5,4,,,,,,,,,1,0,13,14,,,,,22,24,14,13,,,,,10,6,0,4,,,,,,,,,,,,,,,,,,,,,,
28.04.2025,02:45,Napoli,Torino,2:0,https://www.flashscore.co.uk/match/football/080PLtRQ/#/match-summary,0.84,0.52,58%,42%,8,9,2,0,1,1,2,5,"88%,(488/552)","82%,(325/395)",0,3,4,3,2,6,8,3,0,6,1,0,26,14,1,0,13,5,"76%,(89/117)","70%,(64/92)","26%,(5/19)","17%,(3/18)",18,14,5,13,"43%,(6/14)","63%,(5/8)",22,22,6,7,0,0,1.65,0.00,1,0,"36%,(16/44)","42%,(22/53)",0.95,0.84,43,33,0,0,0,0,0.00,1.65,0.00,-0.35,,,,
19.05.2025,02:45,Monza,Empoli,1:3,https://www.flashscore.co.uk/match/football/zPmL0Zkf/#/match-summary,1.19,1.22,68%,32%,12,9,4,4,1,4,2,6,"90%,(587/653)","77%,(230/297)",0,1,4,3,4,2,5,5,7,4,0,2,14,18,3,1,16,8,"81%,(102/126)","67%,(64/96)","31%,(4/13)","18%,(3/17)",16,20,8,16,"64%,(7/11)","58%,(7/12)",27,18,6,9,1,3,1.05,1.60,1,0,"58%,(32/55)","33%,(14/42)",0.74,0.53,43,28,0,1,0,0,1.60,1.05,-0.40,0.05,,,0,1
26.01.2025,22:00,Udinese,AS Roma,1:2,https://www.flashscore.co.uk/match/football/vZBcwss9/#/match-summary,0.59,2.88,48%,52%,10,16,3,10,1,2,1,5,"84%,(357/425)","86%,(385/449)",2,2,3,3,4,3,5,10,5,6,0,0,12,19,1,4,12,15,"71%,(70/99)","68%,(72/106)","16%,(3/19)","25%,(4/16)",24,16,15,12,"50%,(9/18)","63%,(5/8)",35,34,7,6,8,2,,,,,,,,,,,,,,,,,,,,,,
25.08.2024,00:30,Parma,AC Milan,2:1,https://www.flashscore.co.uk/match/football/8x0Cb1B6/#/match-summary,1.61,2.21,39%,61%,8,17,5,5,,,3,9,"84%,(310/371)","89%,(487/547)",0,3,3,9,0,3,,,,,,,,,2,0,15,11,,,,,14,17,9,13,,,,,,,4,3,,,,,,,,,,,,,,,,,,,,,,
01.12.2024,03:45,Bologna,Venezia,3:0,https://www.flashscore.co.uk/match/football/lIhj8R6e/#/match-summary,2.93,0.42,61%,39%,16,5,9,1,6,0,1,0,"86%,(425/493)","80%,(250/313)",0,2,5,2,2,2,9,4,7,1,0,0,29,9,2,0,15,14,"79%,(108/137)","57%,(36/63)","29%,(4/14)","38%,(3/8)",20,24,14,15,"58%,(14/24)","50%,(7/14)",10,20,7,10,1,6,,,,,,,,,,,,,,,,,,,,,,
09.03.2025,01:00,Lecce,AC Milan,2:3,https://www.flashscore.co.uk/match/football/ddyagN7m/#/match-summary,0.86,3.19,29%,71%,11,16,3,9,2,4,2,7,"68%,(164/242)","89%,(518/581)",2,1,6,6,2,1,8,13,3,3,1,1,14,33,2,7,7,13,"50%,(40/80)","84%,(142/169)","20%,(2/10)","41%,(9/22)",18,15,13,7,"73%,(16/22)","67%,(4/6)",38,14,7,3,6,1,,,,,,,,,,,,,,,,,,,,,,
01.03.2025,03:45,Fiorentina,Lecce,1:0,https://www.flashscore.co.uk/match/football/46UzYFuA/#/match-summary,1.67,0.77,48%,52%,10,8,3,3,2,2,5,2,"77%,(317/413)","80%,(361/454)",3,2,5,2,2,3,8,5,2,3,2,0,12,18,5,0,12,10,"52%,(48/92)","57%,(59/103)","29%,(7/24)","26%,(6/23)",20,15,10,12,"43%,(3/7)","50%,(5/10)",36,25,8,10,3,2,,,,,,,,,,,,,,,,,,,,,1,0
23.02.2025,22:00,Verona,Fiorentina,1:0,https://www.flashscore.co.uk/match/football/6Z0ALojm/#/match-summary,1.06,1.22,43%,57%,7,8,3,3,0,2,4,1,"75%,(251/334)","83%,(375/451)",3,3,2,4,2,1,5,4,2,4,0,0,15,14,0,1,8,19,"51%,(42/82)","60%,(52/87)","20%,(3/15)","17%,(2/12)",17,20,19,8,"56%,(10/18)","25%,(2/8)",18,23,12,9,3,2,,,,,,,,,,,,,,,,,,,,,,
07.04.2025,00:00,Atalanta,Lazio,0:1,https://www.flashscore.co.uk/match/football/AkKS5CE7/#/match-summary,0.53,0.52,58%,42%,10,8,2,3,2,1,11,4,"85%,(420/497)","78%,(293/376)",1,2,3,3,5,2,8,5,2,3,0,0,42,13,1,1,6,6,"72%,(114/158)","59%,(47/79)","24%,(8/34)","38%,(3/8)",24,26,6,6,"58%,(11/19)","52%,(13/25)",15,33,8,12,2,2,0.68,0.55,0,1,"58%,(25/43)","34%,(16/47)",1.10,0.24,38,50,0,0,0,0,0.55,0.68,-0.45,0.68,,,,
08.03.2025,22:00,Como,Venezia,1:1,https://www.flashscore.co.uk/match/football/UTupahv9/#/match-summary,1.02,1.33,56%,44%,12,11,7,6,2,3,3,5,"83%,(376/451)","82%,(287/350)",2,3,3,3,2,2,10,7,2,3,1,0,30,15,0,3,14,11,"70%,(87/124)","58%,(52/90)","33%,(4/12)","27%,(3/11)",26,27,11,14,"68%,(17/25)","75%,(15/20)",11,20,4,8,5,6,,,,,,,,,,,,,,,,,,,,,,
08.03.2025,22:00,Parma,Torino,2:2,https://www.flashscore.co.uk/match/football/4SNFku7C/#/match-summary,1.46,0.56,52%,48%,12,6,4,2,2,1,7,4,"82%,(282/343)","81%,(267/329)",4,2,5,2,3,2,8,4,4,2,1,0,18,17,1,0,15,16,"61%,(63/104)","51%,(38/75)","30%,(7/23)","29%,(4/14)",28,10,16,15,"47%,(7/15)","78%,(7/9)",28,38,4,6,0,2,,,,,,,,,,,,,,,,,,,,,1,0
